*******************************************************
GTC-OSIRIS-R500R spectra of A, B and G on 27 March 2014
*******************************************************
UNITS:				lambda in angstrom (A)
			flux in 10^{-17} ergs/cm^2/s/A
******************************************************* 
   	         flux
         -------------------
lambda     A     B      G
******************************
8207.151 3.898 3.909 1.891
8211.968 3.904 3.849 1.978
8216.784 3.838 3.721 2.012
8221.601 3.774 3.699 1.925
8226.418 3.791 3.702 1.875
8231.234 3.886 3.749 1.709
8236.051 3.874 3.809 1.843
8240.867 3.848 3.880 1.918
8245.684 3.873 3.813 1.966
8250.500 3.829 3.768 2.170
8255.317 3.854 3.814 1.812
8260.133 3.817 3.764 1.940
8264.950 3.879 3.779 2.050
8269.767 3.725 3.651 2.084
8274.583 3.772 3.719 1.998
8279.400 3.811 3.691 1.807
8284.216 3.934 3.883 1.565
8289.033 3.739 3.852 1.649
8293.849 3.785 3.541 2.096
8298.666 3.760 3.846 1.748
8303.482 3.827 3.771 1.704
8308.299 3.760 3.755 1.796
8313.116 3.777 3.805 1.698
8317.932 3.779 3.754 1.797
8322.749 3.756 3.694 1.941
8327.565 3.726 3.749 1.898
8332.382 3.763 3.780 1.946
8337.198 3.813 3.792 1.926
8342.015 3.754 3.881 1.934
8346.832 3.712 3.837 2.057
8351.648 3.691 3.733 1.949
8356.465 3.738 3.743 2.064
8361.281 3.865 3.750 2.092
8366.098 3.786 3.796 1.916
8370.914 3.865 3.910 1.679
8375.731 3.842 3.770 1.860
8380.547 3.757 3.743 2.220
8385.364 3.861 3.735 2.318
8390.181 3.795 3.738 2.110
8394.997 3.784 3.659 2.221
8399.814 3.772 3.802 1.980
8404.630 3.846 3.821 1.890
8409.447 3.730 3.717 2.161
8414.263 3.718 3.601 2.341
8419.080 3.850 3.669 2.196
8423.896 3.856 3.790 2.251
8428.713 3.842 3.772 2.125
8433.530 3.860 3.931 1.978
8438.346 3.947 3.917 2.037
8443.163 3.902 3.767 1.949
8447.979 3.758 3.676 2.281
8452.796 3.860 3.679 2.259
8457.612 3.868 3.665 2.128
8462.429 3.861 3.827 1.824
8467.246 3.912 3.853 1.863
8472.062 3.945 3.771 1.968
8476.879 3.783 3.599 2.409
8481.695 3.861 3.752 2.088
8486.512 3.931 3.805 1.904
8491.328 3.875 3.695 2.131
8496.145 3.844 3.826 2.124
8500.961 3.698 3.784 2.194
8505.778 3.720 3.658 2.271
8510.595 3.684 3.735 2.091
8515.411 3.710 3.675 2.261
8520.228 3.707 3.681 2.225
8525.044 3.649 3.730 2.249
